PROVINCIA,PARTIDO,VOTOS,ANIO
CABA,JXC,971116,2017
CABA,JXC,855562,2021
CABA,IZQUIERDA,132161,2017
CABA,IZQUIERDA,141349,2021
CABA,FdT,408462,2017
CABA,FdT,456876,2021
